path,n_patients,weight_function,n_bootstraps,nknots,cutoff,constraint,computation_time,normalization,sum_weight_diff_mean,sum_weight_diff_95p,sum_weight_diff_5p,AUC_diff_mean,AUC_diff_95p,AUC_diff_5p
"Simulation_results/multiple weights, 100-100000/models/100_exponential_weight_1000bootsraps1knots_Right",100,exponential_weight,1000,1,180,Right,7.019752502441406,1,0.6895669888332486,1.2615687251091001,0.2685540169477463,0.5750377775002419,1.2122504212359613,0.07197062888560594
"Simulation_results/multiple weights, 100-100000/models/100_exponential_weight_1000bootsraps1knots_None",100,exponential_weight,1000,1,180,None,7.605845928192139,1,1.440046841263771,2.1834137439727783,0.8272070467472077,0.9936815597489149,1.6502046033401707,0.34228726685942096
"Simulation_results/multiple weights, 100-100000/models/100_exponential_weight_1000bootsraps2knots_Right",100,exponential_weight,1000,2,180,Right,7.658663749694824,1,0.8161226945891976,1.3720516979694366,0.3621909588575363,0.5366232854435345,1.1633683074247074,0.05260368627891694
"Simulation_results/multiple weights, 100-100000/models/100_exponential_weight_1000bootsraps2knots_None",100,exponential_weight,1000,2,180,None,8.017587423324585,1,1.6061615251004695,2.4218056797981258,0.9335149466991425,1.0318540137392846,1.7503000722495925,0.39970354387151025
"Simulation_results/multiple weights, 100-100000/models/100_exponential_weight_1000bootsraps3knots_Right",100,exponential_weight,1000,3,180,Right,8.448313474655151,1,1.1174116058945656,1.7971751570701597,0.5554061591625213,0.6749287502367758,1.3663405093413985,0.08153405310847575
"Simulation_results/multiple weights, 100-100000/models/100_exponential_weight_1000bootsraps3knots_None",100,exponential_weight,1000,3,180,None,10.704665184020996,1,1.7762185484170914,2.523540723323822,1.1231173753738404,1.049816852389995,1.7407773934344728,0.384654527861494
"Simulation_results/multiple weights, 100-100000/models/500_exponential_weight_1000bootsraps1knots_Right",500,exponential_weight,1000,1,180,Right,8.203770399093628,1,0.2589717961810529,0.446750783920288,0.11265318728983403,0.16641674682338325,0.40139096158223847,0.014814484554564444
"Simulation_results/multiple weights, 100-100000/models/500_exponential_weight_1000bootsraps1knots_None",500,exponential_weight,1000,1,180,None,11.958123683929443,1,0.48843124201893806,0.7851396232843397,0.2336333692073822,0.22685320039647922,0.5264657488591183,0.021628268896711236
"Simulation_results/multiple weights, 100-100000/models/500_exponential_weight_1000bootsraps2knots_Right",500,exponential_weight,1000,2,180,Right,10.963517189025879,1,0.39457665403187275,0.6688986510038374,0.17533693984150886,0.20444323400909542,0.4766315532209887,0.019864100264385343
"Simulation_results/multiple weights, 100-100000/models/500_exponential_weight_1000bootsraps2knots_None",500,exponential_weight,1000,2,180,None,14.577167749404907,1,0.5085546113103628,0.7801201641559599,0.2605783149600029,0.21875534605524535,0.5138298612844664,0.01726398390001123
"Simulation_results/multiple weights, 100-100000/models/500_exponential_weight_1000bootsraps3knots_Right",500,exponential_weight,1000,3,180,Right,12.676573038101196,1,0.5070573898553848,0.7914199709892272,0.24472639709711075,0.2525183179243349,0.5469942182818155,0.027221041209804755
"Simulation_results/multiple weights, 100-100000/models/500_exponential_weight_1000bootsraps3knots_None",500,exponential_weight,1000,3,180,None,15.702086925506592,1,0.6324428139477968,0.9124586582183838,0.3604994624853134,0.24944149780493352,0.562217184617475,0.02157801133907924
"Simulation_results/multiple weights, 100-100000/models/1000_exponential_weight_1000bootsraps1knots_Right",1000,exponential_weight,1000,1,180,Right,13.294000625610352,1,0.2471015848480165,0.4298508211970329,0.10916046537458897,0.11477940352355614,0.28455516077299015,0.009768351710134482
"Simulation_results/multiple weights, 100-100000/models/1000_exponential_weight_1000bootsraps1knots_None",1000,exponential_weight,1000,1,180,None,17.91213345527649,1,0.3986802211776376,0.6220160841941833,0.2118430517613888,0.12166845670954717,0.30354562935863216,0.00983779287471407
"Simulation_results/multiple weights, 100-100000/models/1000_exponential_weight_1000bootsraps2knots_Right",1000,exponential_weight,1000,2,180,Right,15.788575887680054,1,0.2793000218980014,0.46576564610004423,0.12262344658374787,0.12582801897091558,0.3053494871069546,0.010809206084569213
"Simulation_results/multiple weights, 100-100000/models/1000_exponential_weight_1000bootsraps2knots_None",1000,exponential_weight,1000,2,180,None,20.314469575881958,1,0.43344178854674104,0.645095431804657,0.2383757084608078,0.11491785343280025,0.2866447258211336,0.007904653873629286
"Simulation_results/multiple weights, 100-100000/models/1000_exponential_weight_1000bootsraps3knots_Right",1000,exponential_weight,1000,3,180,Right,17.741232872009277,1,0.31708290907740594,0.49298387467861177,0.16273846477270126,0.11864676982506381,0.28423809385855614,0.009388914543910687
"Simulation_results/multiple weights, 100-100000/models/1000_exponential_weight_1000bootsraps3knots_None",1000,exponential_weight,1000,3,180,None,23.017529010772705,1,0.4787100347429514,0.6975393414497375,0.2800097644329071,0.1244835201400565,0.3007645220382983,0.010518019260416622
"Simulation_results/multiple weights, 100-100000/models/5000_exponential_weight_1000bootsraps1knots_Right",5000,exponential_weight,1000,1,180,Right,37.149341106414795,1,0.14351176692917944,0.21642847731709478,0.08446190841495992,0.04315118606968681,0.10742262497155934,0.0036971235346527466
"Simulation_results/multiple weights, 100-100000/models/5000_exponential_weight_1000bootsraps1knots_None",5000,exponential_weight,1000,1,180,None,51.23292255401611,1,0.24628457137942314,0.35041208416223524,0.14384713545441627,0.07194450972946288,0.1649313239209732,0.005249414217905724
"Simulation_results/multiple weights, 100-100000/models/5000_exponential_weight_1000bootsraps2knots_Right",5000,exponential_weight,1000,2,180,Right,45.259894132614136,1,0.18561488063260914,0.2736205026507377,0.10814901068806648,0.06151852199737393,0.14071763200879558,0.0054938625866952865
"Simulation_results/multiple weights, 100-100000/models/5000_exponential_weight_1000bootsraps2knots_None",5000,exponential_weight,1000,2,180,None,59.385690212249756,1,0.2672191250622272,0.3650226905941963,0.17221764847636223,0.07124852777855994,0.16676640037803733,0.005645715606624436
"Simulation_results/multiple weights, 100-100000/models/5000_exponential_weight_1000bootsraps3knots_Right",5000,exponential_weight,1000,3,180,Right,51.78877806663513,1,0.20764730370789766,0.29102879017591476,0.12523484714329242,0.0701160780323122,0.15409390016493488,0.006307575033480362
"Simulation_results/multiple weights, 100-100000/models/5000_exponential_weight_1000bootsraps3knots_None",5000,exponential_weight,1000,3,180,None,66.21997165679932,1,0.28859374779462815,0.39033584296703333,0.18876340687274934,0.0680410762964766,0.16137932573365102,0.005940378577543016
"Simulation_results/multiple weights, 100-100000/models/10000_exponential_weight_1000bootsraps1knots_Right",10000,exponential_weight,1000,1,180,Right,277.9187297821045,1,0.12622161588445305,0.17167897522449493,0.09034870117902756,0.02992663739893244,0.07146861097244538,0.002145769095596961
"Simulation_results/multiple weights, 100-100000/models/10000_exponential_weight_1000bootsraps1knots_None",10000,exponential_weight,1000,1,180,None,400.3623683452606,1,0.1402963502779603,0.19544686749577522,0.09296352788805962,0.036328246399263665,0.08665042292886938,0.002717023140667152
"Simulation_results/multiple weights, 100-100000/models/10000_exponential_weight_1000bootsraps2knots_Right",10000,exponential_weight,1000,2,180,Right,340.333411693573,1,0.13572697073966264,0.18785641267895697,0.09316981099545955,0.032896929251531516,0.08043453426499807,0.0025318472132923376
"Simulation_results/multiple weights, 100-100000/models/10000_exponential_weight_1000bootsraps2knots_None",10000,exponential_weight,1000,2,180,None,459.9675922393799,1,0.14648576666787266,0.20157165527343748,0.09762340933084489,0.03625518993261858,0.0933090618174901,0.0023184983942883264
"Simulation_results/multiple weights, 100-100000/models/10000_exponential_weight_1000bootsraps3knots_Right",10000,exponential_weight,1000,3,180,Right,404.2154839038849,1,0.13464392986521126,0.18958226442337037,0.09069465771317482,0.03416146617491265,0.08426569231968448,0.0025097833896893466
"Simulation_results/multiple weights, 100-100000/models/10000_exponential_weight_1000bootsraps3knots_None",10000,exponential_weight,1000,3,180,None,525.7731461524963,1,0.1529783654510975,0.20900267884135246,0.10136908516287804,0.03833570697390542,0.09233655113530403,0.0033255109816309413
"Simulation_results/multiple weights, 100-100000/models/50000_exponential_weight_1000bootsraps1knots_Right",50000,exponential_weight,1000,1,180,Right,1034.5354270935059,1,0.0895374542735517,0.10922719091176986,0.07057210542261601,0.05411606703022983,0.08047935346272936,0.026762238519711445
"Simulation_results/multiple weights, 100-100000/models/50000_exponential_weight_1000bootsraps1knots_None",50000,exponential_weight,1000,1,180,None,1495.305680513382,1,0.09257981527596712,0.12437291443347931,0.06228875331580639,0.024014928432870876,0.055356754853346485,0.001591480202114326
"Simulation_results/multiple weights, 100-100000/models/50000_exponential_weight_1000bootsraps2knots_Right",50000,exponential_weight,1000,2,180,Right,1265.3450379371643,1,0.08823710836470128,0.10954000577330589,0.06950433850288391,0.04611425289815597,0.07534273166180583,0.016491894656456906
"Simulation_results/multiple weights, 100-100000/models/50000_exponential_weight_1000bootsraps2knots_None",50000,exponential_weight,1000,2,180,None,1717.4140248298645,1,0.10640184914693236,0.1396631583571434,0.07468640767037868,0.024114617694069237,0.0531051966609084,0.00226682129141409
"Simulation_results/multiple weights, 100-100000/models/50000_exponential_weight_1000bootsraps3knots_Right",50000,exponential_weight,1000,3,180,Right,1488.1583423614502,1,0.10189791002497077,0.1292315825819969,0.0748573213815689,0.028787491737997585,0.057342223822195136,0.00370534565104208
"Simulation_results/multiple weights, 100-100000/models/50000_exponential_weight_1000bootsraps3knots_None",50000,exponential_weight,1000,3,180,None,1945.2798671722412,1,0.10437882647290826,0.13330765664577485,0.07307485081255435,0.024119412843069767,0.05440920871878916,0.0019727249800780555
"Simulation_results/multiple weights, 100-100000/models/100000_exponential_weight_1000bootsraps1knots_Right",100000,exponential_weight,1000,1,180,Right,1958.4975156784058,1,0.08168676675483584,0.09651799090206623,0.06770883053541184,0.02008684009239238,0.039160065170955244,0.002231938936648703
"Simulation_results/multiple weights, 100-100000/models/100000_exponential_weight_1000bootsraps1knots_None",100000,exponential_weight,1000,1,180,None,2829.5657966136932,1,0.07911543258279562,0.10186506025493144,0.057235863618552686,0.01552972672427859,0.03683504133023232,0.001501843936785008
"Simulation_results/multiple weights, 100-100000/models/100000_exponential_weight_1000bootsraps2knots_Right",100000,exponential_weight,1000,2,180,Right,2392.747824907303,1,0.08557798713073135,0.10410980209708214,0.06814034022390843,0.010787791600930746,0.025850313188163908,0.0007600122370035934
"Simulation_results/multiple weights, 100-100000/models/100000_exponential_weight_1000bootsraps2knots_None",100000,exponential_weight,1000,2,180,None,3266.551464319229,1,0.07885365379974246,0.10299087315797804,0.05604522246867418,0.01492327987018234,0.03641859315139299,0.0009902045891067247
"Simulation_results/multiple weights, 100-100000/models/100000_exponential_weight_1000bootsraps3knots_Right",100000,exponential_weight,1000,3,180,Right,2818.6069073677063,1,0.08238829167932273,0.10148127935826777,0.0633291769772768,0.010183957890746114,0.02477682286938715,0.001020866352473604
"Simulation_results/multiple weights, 100-100000/models/100000_exponential_weight_1000bootsraps3knots_None",100000,exponential_weight,1000,3,180,None,3691.8253803253174,1,0.08370332182571293,0.10909240022301674,0.05966845601797104,0.015182718387806745,0.03633936982287196,0.0013015314045333071
